id,name,host+AF8-id,host+AF8-name,neighbourhood+AF8-group,neighbourhood,latitude,longitude,room+AF8-type,price,minimum+AF8-nights,number+AF8-of+AF8-reviews,last+AF8-review,reviews+AF8-per+AF8-month,calculated+AF8-host+AF8-listings+AF8-count,availability+AF8-365
5930133,Family house +ADs- 2 bicylces included,30789194,Jaap +ACY- Merit,,Watergraafsmeer,52.3549103601,4.9386584926,Entire home/apt,180,3,5,2017+AC0-05+AC0-06,0.11,1,0
5934494,Best Central 2 bedroom apartment,7703684,Aigerim,,De Baarsjes +AC0- Oud+AC0-West,52.3650927308,4.868676199,Entire home/apt,186,2,56,2018+AC0-02+AC0-25,1.27,2,0
5936389,Cosy+ADs- bright apartment with home cinema,8432897,Franca,,Zuid,52.3463526468,4.8482219413,Entire home/apt,100,6,29,2018+AC0-06+AC0-30,0.66,1,0
5937860,Perfect apartment+ADs- top location+ACE-,30828996,Richard,,Westerpark,52.384424187,4.8737309541,Entire home/apt,120,4,15,2017+AC0-09+AC0-21,0.37,1,0
5938397,Charming Apartment with a Garden +ACY- a Canal Boat,9677825,Niels,,De Baarsjes +AC0- Oud+AC0-West,52.3634311682,4.8565281809,Entire home/apt,115,3,15,2018+AC0-04+AC0-02,0.35,1,0
5940213,Beautiful appartment great location,11468114,Veer,,Centrum+AC0-Oost,52.3611635439,4.9061042235,Entire home/apt,95,2,19,2018+AC0-09+AC0-15,0.44,1,1
5944282,Great canal apartment in Jordaan+ACE-,4813139,Manon,,Centrum+AC0-West,52.3823487937,4.8815043269,Entire home/apt,150,4,23,2018+AC0-08+AC0-21,0.56,1,0
5944474,Cosy place next to hotspots Pijp+ACE-,10624699,Larissa,,De Pijp +AC0- Rivierenbuurt,52.3527818957,4.9071266959,Entire home/apt,160,1,12,2018+AC0-10+AC0-14,0.28,1,0
5949283,360+//0Awv/9ALA- Amsterdam from roof terrace+ACE-,14030203,Kasper,,Bos en Lommer,52.3749373004,4.8597191933,Entire home/apt,130,1,4,2015+AC0-09+AC0-21,0.09,1,0
5950023,Comfortable Family House near Leidseplein (yr1898),7525954,Caroline,,De Baarsjes +AC0- Oud+AC0-West,52.3631955431,4.874553674,Entire home/apt,260,2,11,2018+AC0-10+AC0-22,0.26,1,40
5950879,4p. modern apartment +AC0- rooftop terrace,5769652,Robin,,De Baarsjes +AC0- Oud+AC0-West,52.3672995224,4.8509153764,Entire home/apt,245,3,48,2018+AC0-08+AC0-30,1.1,1,317
5951601,Beautiful Studio+ADs- Super Location close to Jordaan+ACE-,30884732,Kim,,Centrum+AC0-West,52.3844873543,4.8874037607,Entire home/apt,99,3,7,2017+AC0-01+AC0-23,0.19,1,0
5955136,Delightful apartment near Vondelpark+ACE-,30912854,Ricky,,Zuid,52.3518445752,4.8552761598,Entire home/apt,99,2,19,2018+AC0-11+AC0-05,0.45,1,17
5955924,2 Bedroom city centre apartment,30916546,Martin,,Centrum+AC0-Oost,52.3602751649,4.8884052561,Entire home/apt,160,2,1,2017+AC0-07+AC0-10,0.06,1,0
5956742,Family house at dyke  great garden  free parking,7866386,Michiel,,Oud+AC0-Noord,52.3894928929,4.9281297361,Entire home/apt,170,4,5,2016+AC0-12+AC0-31,0.13,1,0
5956911,Chill Amsterdam Apartment+ACE-,4034155,Thomas,,Zuid,52.3510608561,4.8471562027,Entire home/apt,90,2,1,2015+AC0-05+AC0-04,0.02,2,0
5957043,Cosy apartment for 2+AC0-4 people,30922450,Alex,,Bijlmer+AC0-Oost,52.3211354394,4.9657891079,Entire home/apt,80,4,6,2016+AC0-08+AC0-07,0.14,1,0
5957231,Nice quiet room close to center,16061362,Arjen,,Oud+AC0-Oost,52.3628716307,4.9269193874,Private room,53,1,262,2018+AC0-09+AC0-27,6.02,2,0
5959225,Amsterdam Rembrandtplein Apartment,25389632,Dan,,Centrum+AC0-Oost,52.3667603398,4.8966662418,Entire home/apt,300,3,118,2018+AC0-05+AC0-09,2.82,4,49
5962309,Rembrandsquare,15402339,Vitali,,Centrum+AC0-Oost,52.3658166853,4.8978260927,Private room,41,2,2,2016+AC0-06+AC0-16,0.06,1,0
5962744,Room with private bathroom +ACY- access,30946768,Tessa +ACY- Romain,,Centrum+AC0-Oost,52.3606721681,4.8953103411,Private room,80,2,197,2018+AC0-12+AC0-04,4.46,2,21
5964100,Apartment Central Amsterdam,1347933,Simon,,Centrum+AC0-West,52.3788109466,4.8854515796,Entire home/apt,60,7,7,2018+AC0-01+AC0-05,0.16,1,0
5970916,Spacious +ACY- lovely family house+ACE-,9191032,Linda,,Bos en Lommer,52.3796609314,4.8586389905,Entire home/apt,180,2,42,2018+AC0-10+AC0-27,0.97,2,4
5970974,Great Amsterdam,30997987,Gerda,,Buitenveldert +AC0- Zuidas,52.3293527269,4.8816297653,Entire home/apt,75,10,1,2015+AC0-06+AC0-11,0.02,1,0
5971987,Cosy apartment with canal+ACY-parkview,15292908,Anoek,,Bos en Lommer,52.3774793715,4.8554560832,Entire home/apt,80,3,30,2017+AC0-06+AC0-25,0.69,1,23
5972346,Apartment nearby centre,22190791,Barry,,De Baarsjes +AC0- Oud+AC0-West,52.3714661825,4.8494094388,Entire home/apt,120,20,3,2018+AC0-06+AC0-24,0.08,1,0
5974689,Cozy apartment with toddler room +ACY- bikes,31016826,Marleen,,De Baarsjes +AC0- Oud+AC0-West,52.3698232953,4.8508835137,Entire home/apt,84,5,5,2018+AC0-08+AC0-26,0.87,1,68
5974980,Big Apartment with Sunny Balcony,16044391,Dorus,,Slotervaart,52.3645773463,4.8407259763,Entire home/apt,65,1,0,,,1,0
5975684,Charming apartment near Amstel,19203781,Rik,,Oud+AC0-Oost,52.3492000815,4.9126274427,Entire home/apt,120,3,1,2018+AC0-06+AC0-30,0.19,2,0
5977903,Cozy appartment Vondelpark,21351464,Sanne,,De Baarsjes +AC0- Oud+AC0-West,52.3623193961,4.8655090459,Entire home/apt,90,3,14,2017+AC0-08+AC0-07,0.32,2,0
5978154,Charming apartment canal view ,3849885,Ayten,,De Baarsjes +AC0- Oud+AC0-West,52.3686908149,4.873708175,Entire home/apt,240,3,21,2018+AC0-08+AC0-18,0.48,1,314
5978566,Canal+AC0-Facing Apartment in Jordaan,522491,Sridhar +ACY- Smitha,,Centrum+AC0-West,52.3683577805,4.8787410331,Entire home/apt,150,2,19,2017+AC0-07+AC0-03,0.44,1,0
5981716,Lovely apt in heart of Amsterdam ,24412709,Maaike,,De Baarsjes +AC0- Oud+AC0-West,52.3664693951,4.8727839197,Entire home/apt,95,4,18,2018+AC0-10+AC0-04,0.41,1,14
5982570,Apartment for 4 persons situated at park+ACE-,19029497,Resalieke,,Centrum+AC0-Oost,52.3674063905,4.9110556323,Entire home/apt,175,2,270,2018+AC0-11+AC0-25,6.14,1,289
5983466,Penthouse in De Pijp+ADs- Amsterdam,26611745,Margreet,,De Pijp +AC0- Rivierenbuurt,52.355102973,4.8904612049,Entire home/apt,139,3,62,2018+AC0-10+AC0-27,1.43,1,40
5985395,Brand new cosy apartment Oud+AC0-Zuid,13882151,Nikki,,Zuid,52.3482042943,4.8626137705,Entire home/apt,118,3,7,2018+AC0-10+AC0-24,0.16,1,3
5986420,lovely apartment in the city for 2+ACE-,31079938,Barbara,,De Baarsjes +AC0- Oud+AC0-West,52.3678323556,4.8715183539,Entire home/apt,89,2,36,2018+AC0-11+AC0-02,0.82,1,195
5987340,Complete apartment near city center,18789299,Mari+//0Aw//9AKs-tte,,Bos en Lommer,52.3809621979,4.8529138933,Entire home/apt,110,2,7,2018+AC0-09+AC0-15,0.16,1,5
5988112,Cosy Apartment with 2 cats+ADs- close to everything,29973892,Margarita,,De Baarsjes +AC0- Oud+AC0-West,52.3687874367,4.8727953761,Entire home/apt,100,2,36,2018+AC0-09+AC0-16,0.81,3,5
5991024,Small bright room Beethovenstraat/WTC/RAI/VAN GOGH,21572827,Hetty,,Zuid,52.3466044084,4.8783326475,Private room,79,2,123,2018+AC0-11+AC0-30,2.81,4,300
5994414,Stay Between Jordaan +ACY- Vondelpark,4214805,Joseph Vito,,Westerpark,52.3736726891,4.8741302162,Private room,100,1,1,2016+AC0-02+AC0-20,0.03,1,0
